Customer#	Total	    Subtotal       Tax       Shipping

4290           	$11.40      $10.00         0.4       1
1235            $39.42      $35.98         1.4392    2
4234            $131.85     $121.97        4.8788    5
3123            $160.95     $149.95        5.998     5
1123            $43.60      $40.00         1.6       2
3212            $128.78     $119.98        4.7992    4
2342            $89.29      $82.97         3.3188    3
4920            $47.69      $42.97         1.7188    3
8399            $22.80      $20.00         0.8       2
3491            $43.60      $40.00         1.6       2
1008            $46.66      $41.98         1.6792    3
1028            $24.83      $20.99         0.8396    3
9097            $39.43      $35.99         1.4396    2
9102            $94.49      $87.97         3.5188    3
4206            $57.02      $50.98         2.0392    4
